millis,a_x,a_y,a_z,f,,,
423883,-0.05,1.51,0.1,0,,,
423888,-0.05,1.51,0.24,0,,,
423892,-0.05,1.47,0.24,0,,,
423896,-0.05,1.47,0.24,0,,,
423901,-0.05,1.47,0.24,0,,,
423905,-0.05,1.47,0.24,0,,,
423909,-0.1,1.32,0.29,0,,,
423914,-0.1,1.32,0.29,0,,,
423918,-0.1,1.32,0.29,0,,,
423923,-0.1,1.32,0.29,0,,,
423927,-0.1,1.51,0.34,0,,,
423931,-0.1,1.51,0.34,0,,,
423936,-0.1,1.51,0.34,0,,,
423940,-0.1,1.51,0.34,0,,,
423944,-0.1,1.51,0.34,0,,,
423949,-0.05,1.17,0.34,0,,,
423953,-0.05,1.17,0.34,0,,,
423957,-0.05,1.17,0.34,0,,,
423962,-0.05,1.17,0.34,0,,,
